farm code,number,area,N_trees,tree.density
GBN 8,2,522,1,0.001915709
GBN 8,2,522,1,0.001915709
GBN 8,1,522,1,0.001915709
GBN 8,1,522,1,0.001915709
GBN 8,2,522,1,0.001915709
GBN 8,1,522,1,0.001915709
GBN 8,6,522,1,0.001915709
GBN 8,2,522,1,0.001915709
GBN 8,1,522,1,0.001915709
GBN 8,1,522,1,0.001915709
GBN 8,1,522,1,0.001915709
GBN 8,1,522,1,0.001915709
GBN 8,0,522,1,0.001915709
GBN 8,1,522,1,0.001915709
GBN 8,4,522,1,0.001915709
GBN 8,2,522,1,0.001915709
GBN 8,4,522,1,0.001915709
GBN 8,1,522,1,0.001915709
LOBN 3,0,837,1,0.001145475
LOBN 3,0,837,1,0.001145475
LOBN 3,3,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,2,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 6,0,868,0,0
LOBN 6,2,868,0,0
LOBN 6,0,868,0,0
LOBN 6,1,868,0,0
LOBN 9,0,2491,0,0
LOBN 3,1,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,6,837,1,0.001145475
LOBN 3,2,837,1,0.001145475
LOBN 3,2,837,1,0.001145475
LOBN 3,3,837,1,0.001145475
LOBN 3,1,837,1,0.001145475
LOBN 3,2,837,1,0.001145475
LOBN 6,0,868,0,0
LOBN 6,0,868,0,0
LOBN 6,0,868,0,0
LOBN 6,2,868,0,0
LOBN 4,0,992,0,0
LOBN 4,0,992,0,0
LOBN 4,2,992,0,0
LOBN 4,3,992,0,0
LOBN 4,2,992,0,0
LOBN 4,2,992,0,0
LOBN 4,1,992,0,0
LOBN 4,2,992,0,0
LOBN 4,1,992,0,0
LOBN 4,1,992,0,0
LOBN 4,1,992,0,0
LABN 6,0,875,1,0.001142857
LABN 6,0,875,1,0.001142857
LABN 6,6,875,1,0.001142857
LABN 6,1,875,1,0.001142857
LABN 6,1,875,1,0.001142857
LABN 6,1,875,1,0.001142857
LABN 6,2,875,1,0.001142857
LABN 6,1,875,1,0.001142857
LABN 6,1,875,1,0.001142857
LABN 6,2,875,1,0.001142857
LABN 6,1,875,1,0.001142857
LABN 6,1,875,1,0.001142857
LABN 6,2,875,1,0.001142857
LABN 6,1,875,1,0.001142857
LABN 6,3,875,1,0.001142857
LABN 6,2,875,1,0.001142857
LABN 6,2,875,1,0.001142857
LABN 6,1,875,1,0.001142857
LABN 6,3,875,1,0.001142857
GMX 8,3,858,3,0.003496503
GMX 8,1,858,3,0.003496503
GMX 8,1,858,3,0.003496503
GMX 8,3,858,3,0.003496503
GMX 8,1,858,3,0.003496503
GMX 8,2,858,3,0.003496503
GMX 8,4,858,3,0.003496503
GMX 8,1,858,3,0.003496503
GMX 8,9,858,3,0.003496503
GMX 8,9,858,3,0.003496503
GMX 8,2,858,3,0.003496503
GMX 8,3,858,3,0.003496503
GMX 8,2,858,3,0.003496503
GMX 8,2,858,3,0.003496503
LABN 9,0,1326,1,0.000754148
LABN 9,1,1326,1,0.000754148
LABN 9,2,1326,1,0.000754148
LABN 9,1,1326,1,0.000754148
GMX 8,1,858,3,0.003496503
GMX 8,0,858,3,0.003496503
GMX 8,1,858,3,0.003496503
GMX 8,1,858,3,0.003496503
GMX 8,1,858,3,0.003496503
GMX 8,2,858,3,0.003496503
GMX 8,1,858,3,0.003496503
GMX 8,1,858,3,0.003496503
GMX 8,2,858,3,0.003496503
GMX 8,2,858,3,0.003496503
GMX 8,2,858,3,0.003496503
GMX 8,3,858,3,0.003496503
GMX 8,2,858,3,0.003496503
LABN 9,2,1326,1,0.000754148
LABN 9,1,1326,1,0.000754148
LABN 9,1,1326,1,0.000754148
LABN 9,1,1326,1,0.000754148
LABN 9,1,1326,1,0.000754148
LABN 9,1,1326,1,0.000754148
LOMZ 3,1,1440,1,0.000694444
LOMZ 3,0,1440,1,0.000694444
LOMZ 3,0,1440,1,0.000694444
LOMZ 3,1,1440,1,0.000694444
LOMZ 3,1,1440,1,0.000694444
LOMZ 3,1,1440,1,0.000694444
LOMZ 3,3,1440,1,0.000694444
LOMZ 3,1,1440,1,0.000694444
LOMZ 3,2,1440,1,0.000694444
LOMZ 3,1,1440,1,0.000694444
LOMZ 3,1,1440,1,0.000694444
LOMZ 3,1,1440,1,0.000694444
LOMZ 3,1,1440,1,0.000694444
LOMZ 3,1,1440,1,0.000694444
LOBN 9,0,2491,0,0
LABN 4,0,1804,0,0
LABN 4,0,1804,0,0
LABN 4,0,1804,0,0
LABN 4,2,1804,0,0
LABN 4,1,1804,0,0
LABN 4,2,1804,0,0
LABN 4,2,1804,0,0
LABN 4,3,1804,0,0
LABN 4,1,1804,0,0
LABN 4,4,1804,0,0
LABN 4,2,1804,0,0
LABN 4,1,1804,0,0
LAMX 2,1,2211,0,0
LAMX 2,2,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,2,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,3,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,3,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,2,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,1,2211,0,0
LAMX 2,1,2211,0,0
LOBN 5,0,945,0,0
LOBN 5,0,945,0,0
LOBN 5,0,945,0,0
LOBN 5,1,945,0,0
LOBN 5,0,945,0,0
LOBN 5,0,945,0,0
LOBN 5,1,945,0,0
LOBN 5,1,945,0,0
LOBN 5,1,945,0,0
LOBN 5,1,945,0,0
LOBN 5,6,945,0,0
LABN 3,8,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,2,3358,2,0.000595593
LABN 3,2,3358,2,0.000595593
LABN 3,3,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,2,3358,2,0.000595593
LABN 3,0,3358,2,0.000595593
LAMX 3,1,2860,0,0
LAMX 3,2,2860,0,0
LAMX 3,1,2860,0,0
LAMX 3,0,2860,0,0
LAMX 3,1,2860,0,0
LABN 3,3,3358,2,0.000595593
LABN 3,3,3358,2,0.000595593
LABN 3,2,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,2,3358,2,0.000595593
LABN 3,2,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,2,3358,2,0.000595593
LABN 3,2,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,2,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,5,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,3,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,15,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
LABN 3,2,3358,2,0.000595593
LABN 3,1,3358,2,0.000595593
GMX 4,2,1175,0,0
GMX 4,1,1175,0,0
GMX 4,1,1175,0,0
GMX 4,2,1175,0,0
GMX 4,1,1175,0,0
GMX 6,0,2115,0,0
GMX 6,0,2115,0,0
GMX 6,3,2115,0,0
GMX 6,1,2115,0,0
GMX 6,1,2115,0,0
GMX 6,2,2115,0,0
GMX 6,1,2115,0,0
GMX 4,1,1175,0,0
GMX 4,2,1175,0,0
GMX 4,1,1175,0,0
GMX 4,1,1175,0,0
GMX 4,2,1175,0,0
GMX 4,1,1175,0,0
GMX 4,2,1175,0,0
GMX 4,1,1175,0,0
GMX 4,1,1175,0,0
GMX 4,2,1175,0,0
GMX 4,2,1175,0,0
GMX 4,1,1175,0,0
GMX 6,1,2115,0,0
GMX 6,1,2115,0,0
GMX 6,0,2115,0,0
GMX 6,0,2115,0,0
GMX 6,2,2115,0,0
GMX 6,1,2115,0,0
LABN 1,0,1152,0,0
LABN 1,0,1152,0,0
LABN 1,0,1152,0,0
LABN 1,3,1152,0,0
LABN 1,0,1152,0,0
LABN 1,3,1152,0,0
LABN 1,1,1152,0,0
LABN 1,3,1152,0,0
LABN 1,1,1152,0,0
GBN 4,4,1500,1,0.000666667
GBN 4,0,1500,1,0.000666667
GBN 4,1,1500,1,0.000666667
GBN 4,2,1500,1,0.000666667
GBN 4,1,1500,1,0.000666667
GBN 4,2,1500,1,0.000666667
GBN 4,1,1500,1,0.000666667
GBN 4,1,1500,1,0.000666667
GBN 4,2,1500,1,0.000666667
GBN 4,1,1500,1,0.000666667
GMX 5,1,1850,0,0
GMX 5,5,1850,0,0
GMX 5,2,1850,0,0
GMX 5,1,1850,0,0
GMX 5,1,1850,0,0
GMX 5,1,1850,0,0
GBN 3,0,1947,1,0.000666667
GBN 4,2,1500,1,0.000666667
GBN 4,2,1500,1,0.000666667
GBN 4,2,1500,1,0.000666667
GBN 4,2,1500,1,0.000666667
GBN 4,5,1500,1,0.000666667
GBN 4,1,1500,1,0.000666667
GMX 5,1,1850,0,0
GMX 5,2,1850,0,0
GMX 5,1,1850,0,0
GMX 5,1,1850,0,0
GMX 5,1,1850,0,0
GMX 5,1,1850,0,0
LOBN 9,0,2491,0,0
LOBN 9,2,2491,0,0
LOBN 9,0,2491,0,0
LOBN 9,1,2491,0,0
LOBN 9,2,2491,0,0
LOBN 9,2,2491,0,0
LOBN 9,4,2491,0,0
LOBN 9,1,2491,0,0
LAMZ 8,0,2322,0,0
LAMZ 8,4,2322,0,0
LAMZ 8,1,2322,0,0
LAMZ 8,4,2322,0,0
LAMZ 8,5,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,4,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,1,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,14,2322,0,0
LAMZ 8,3,2322,0,0
LAMZ 8,3,2322,0,0
LAMZ 8,5,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,1,2322,0,0
LAMZ 8,4,2322,0,0
LAMZ 8,3,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,1,2322,0,0
LAMZ 8,1,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,1,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,3,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,1,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,6,2322,0,0
LAMZ 8,1,2322,0,0
LAMZ 8,3,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,2,2322,0,0
LAMZ 8,1,2322,0,0
LAMZ 2,3,2805,1,0.000356506
LAMZ 2,1,2805,1,0.000356506
LAMZ 2,1,2805,1,0.000356506
LAMZ 2,4,2805,1,0.000356506
LAMZ 2,0,2805,1,0.000356506
LAMZ 2,4,2805,1,0.000356506
LAMZ 2,16,2805,1,0.000356506
LAMZ 2,1,2805,1,0.000356506
LAMZ 2,3,2805,1,0.000356506
LAMZ 2,0,2805,1,0.000356506
LOMX 2,0,2035,0,0
LOMX 2,1,2035,0,0
LOMX 2,2,2035,0,0
LOMX 2,1,2035,0,0
LOMX 2,1,2035,0,0
LOMX 2,0,2035,0,0
LAMX 3,1,2860,0,0
LAMX 3,2,2860,0,0
LAMX 3,1,2860,0,0
LAMX 3,2,2860,0,0
LAMX 3,2,2860,0,0
LAMX 3,1,2860,0,0
LAMX 3,1,2860,0,0
LAMZ 2,4,2805,1,0.000356506
LAMZ 2,1,2805,1,0.000356506
LAMZ 2,1,2805,1,0.000356506
LAMZ 2,0,2805,1,0.000356506
LAMZ 2,1,2805,1,0.000356506
LAMZ 2,1,2805,1,0.000356506
LAMZ 2,2,2805,1,0.000356506
LAMZ 2,2,2805,1,0.000356506
LAMZ 2,2,2805,1,0.000356506
LOMX 2,2,2035,0,0
LOMX 2,6,2035,0,0
LOMX 2,1,2035,0,0
LOMX 2,1,2035,0,0
LOMX 2,2,2035,0,0
LOMX 2,1,2035,0,0
LOMX 2,1,2035,0,0
LOMX 2,1,2035,0,0
LOMZ 1,2,2968,0,0
LOMZ 1,1,2968,0,0
LOMZ 1,3,2968,0,0
LOMZ 1,0,2968,0,0
LOMZ 1,0,2968,0,0
LOMZ 1,1,2968,0,0
LOMZ 1,2,2968,0,0
LOMZ 1,1,2968,0,0
LOMZ 1,8,2968,0,0
LOMZ 1,2,2968,0,0
